"","TSS","strand","evidence","genename"
"aaeRp10","3387403","forward","computitional","aaeR "
"aaeRp6","3387499","forward","computitional","aaeR "
"aaeRp7","3387483","forward","computitional","aaeR "
"aaeRp9","3387405","forward","computitional","aaeR "
"aatp5","926683","reverse","computitional","aat "
"accAp","208411","forward","experimental","accA "
"accBp","3403162","forward","experimental","c(""accB"", "" accC "")"
"accDp","2432037","reverse","experimental","accD "
"aceBp","4213425","forward","experimental","c(""aceB"", "" aceA"", "" aceK "")"
"acnAp2","1333805","forward","experimental","acnA "
"acnBp","131519","forward","experimental","acnB "
"acrAp","484922","reverse","experimental","c(""acrB"", "" acrA "")"
"acrDp","2585497","forward","computitional","acrD "
"acrEp","3411724","forward","computitional","c(""acrE"", "" acrF "")"
"acrRp","484923","forward","computitional","acrR "
"acsp1","4285618","reverse","computitional","c(""actP"", "" yjcH"", "" acs "")"
"addp6","1700226","forward","computitional","add "
"adep","3841933","forward","experimental","ade "
"adep6","3841924","forward","computitional","ade "
"adep7","3841953","forward","computitional","ade "
"adiAp","4338579","reverse","experimental","adiA "
"agaRp","3276725","reverse","experimental","agaR "
"agaSp","3279911","forward","experimental","c(""agaS"", "" kbaY"", "" agaB"", "" agaC"", "" agaD"", "" agaI "")"
"ahpCp","638144","forward","experimental","c(""ahpC"", "" ahpF "")"
"ahpCp2","637916","forward","experimental","c(""ahpC"", "" ahpF "")"
"aisp4","2363778","reverse","computitional","ais "
"aisp7","2363776","reverse","computitional","ais "
"aisp8","2363720","reverse","computitional","ais "
"alaAp7","2405436","forward","computitional","c(""alaA"", "" yfbR "")"
"alaCp","2496421","reverse","computitional","alaC "
"alaEp11","2797109","forward","computitional","alaE "
"alaWp","2516275","reverse","computitional","c(""alaX"", "" alaW "")"
"alaXp4","2516328","reverse","computitional","c(""alaX"", "" alaW "")"
"alaXp5","2516281","reverse","computitional","c(""alaX"", "" alaW "")"
"aldAp","1486214","forward","experimental","aldA "
"alkBp","2307467","reverse","computitional","alkB "
"allDp","545635","reverse","computitional","c(""allE"", "" allC"", "" allD "")"
"alsEp2","4306687","reverse","computitional","alsE "
"alsRp1","4311155","reverse","experimental","c(""alsE"", "" alsC"", "" alsA"", "" alsB"", "" rpiR "")"
"alsRp2","4311160","reverse","experimental","c(""alsE"", "" alsC"", "" alsA"", "" alsB"", "" rpiR "")"
"alxp4","3236392","forward","computitional","alx "
"alxp5","3236393","forward","computitional","alx "
"amiAp","2550263","forward","experimental","c(""amiA"", "" hemF "")"
"amiCp6","2947211","reverse","computitional","amiC "
"amiCp7","2947088","reverse","computitional","amiC "
"ampCp","4377026","reverse","computitional","ampC "
"amyAp","2004139","forward","computitional","amyA "
"anmKp9","1717697","reverse","computitional","anmK "
